ID,activity_date,start_date,end_date,activity,activity_details,duration_min,source,weekday,weekday_name
78,1/13/2021 7:51,1/13/2021 7:51,,Workout,,15,DogDown App,3,Miércoles
202,1/14/2021 0:28,1/14/2021 0:28,1/14/2021 1:00,Caminata,HIGH ,32,Google Maps,4,Jueves
77,1/14/2021 7:50,1/14/2021 7:50,,Workout,,10,DogDown App,4,Jueves
76,1/15/2021 7:52,1/15/2021 7:52,,Workout,,12,DogDown App,5,Viernes
203,1/16/2021 2:21,1/16/2021 2:21,1/16/2021 2:52,Caminata,HIGH ,31,Google Maps,6,Sábado
75,1/18/2021 7:45,1/18/2021 7:45,,Workout,,15,DogDown App,1,Lunes
74,1/19/2021 7:47,1/19/2021 7:47,,Workout,,15,DogDown App,2,Martes
204,1/20/2021 0:56,1/20/2021 0:56,1/20/2021 1:40,Caminata,HIGH ,44,Google Maps,3,Miércoles
73,1/20/2021 7:37,1/20/2021 7:37,,Workout,,15,DogDown App,3,Miércoles
72,1/21/2021 7:38,1/21/2021 7:38,,Workout,,12,DogDown App,4,Jueves
205,1/21/2021 23:56,1/21/2021 23:56,1/22/2021 0:31,Caminata,HIGH ,35,Google Maps,4,Jueves
71,1/22/2021 7:35,1/22/2021 7:35,,Workout,,15,DogDown App,5,Viernes
206,1/23/2021 1:24,1/23/2021 1:24,1/23/2021 1:56,Caminata,HIGH ,32,Google Maps,6,Sábado
70,1/25/2021 7:36,1/25/2021 7:36,,Workout,,15,DogDown App,1,Lunes
207,1/26/2021 1:31,1/26/2021 1:31,1/26/2021 2:07,Caminata,HIGH CONFIRMED,36,Google Maps,2,Martes
69,1/26/2021 7:35,1/26/2021 7:35,,Workout,,15,DogDown App,2,Martes
68,1/27/2021 7:34,1/27/2021 7:34,,Workout,,15,DogDown App,3,Miércoles
67,1/28/2021 7:42,1/28/2021 7:42,,Workout,,15,DogDown App,4,Jueves
66,1/29/2021 7:47,1/29/2021 7:47,,Yoga,Sin calentamiento,12,DogDown App,5,Viernes
208,1/30/2021 1:29,1/30/2021 1:29,1/30/2021 2:11,Caminata,HIGH ,42,Google Maps,6,Sábado
65,2/1/2021 7:35,2/1/2021 7:35,,Workout,,15,DogDown App,1,Lunes
209,2/2/2021 0:28,2/2/2021 0:28,2/2/2021 1:09,Caminata,HIGH ,41,Google Maps,2,Martes
64,2/2/2021 7:35,2/2/2021 7:35,,Workout,,15,DogDown App,2,Martes
